ID,Category,Subcategory,Organization Name,Phone,Email,Address,City,State,Zip,Website,Keywords,Description,Source
ee570fb8-5727-4454-910c-1dc89a8b64ff,Social Services,General Counseling Services,PECAN VALLEY CENTERS FOR BEHAVIORAL AND DEVELOPMENTAL HEALTHCARE | CLEBURNE CLINIC - JOHNSON COUNTY | MENTAL HEALTH AND DEVELOPMENTAL DISABILITY SERVICES,"800-772-5987 
							Crisis Hotline and Intake Screening Line",,1601 North Anglin Street,Cleburne,TX,76031,https://www.pecanvalley.org/adult-mental-health-services,"Social Services, General Counseling Services","Provides 24-hour information, intake screening, mobile response team, and a crisis line for mental health services. Also, assist with mental illness, developmental disabilities as well as alcohol and chemical dependency.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=PecanValleyCentersforBehavioralandDevelopmentalHealthCareCleburneClinicJohnsonCountyMentalHealthandDevelopmentalDisabilityServices_1208_19_0
d20b3d82-c456-48fb-a87f-385092a2743e,Social Services,General Counseling Services,PECAN VALLEY CENTERS FOR BEHAVIORAL AND DEVELOPMENTAL HEALTHCARE | GRANBURY CLINIC - HOOD AND SOMERVELL COUNTY | MENTAL HEALTH AND DEVELOPMENTAL DISABILITY SERVICES,"800-772-5987 
							Crisis Hotline and Intake Screening Line",,104 Pirate Dr,Granbury,TX,76048,https://www.pecanvalley.org/adult-mental-health-services,"Social Services, General Counseling Services","Provides 24-hour information, intake screening, mobile response team, and a crisis line for mental health services. Also, assist with mental illness, developmental disabilities as well as alcohol and chemical dependency.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=PecanValleyCentersforBehavioralandDevelopmentalHealthCareGranburyClinicHoodandSomervellCountyMentalHealthandDevelopmentalDisabilityServices_1208_19_0
3824a2a5-7061-47bd-bd88-cbc544499f4d,Social Services,General Counseling Services,PECAN VALLEY CENTERS FOR BEHAVIORAL AND DEVELOPMENTAL HEALTHCARE | MINERAL WELLS CLINIC - PALO PINTO | MENTAL HEALTH AND DEVELOPMENTAL DISABILITY SERVICES,"800-772-5987 
							Crisis Hotline and Intake Screening Line",,100 Travis Drive,Mineral Wells,TX,76067,https://www.pecanvalley.org/adult-mental-health-services,"Social Services, General Counseling Services","Provides 24-hour information, intake screening, mobile response team, and a crisis line for mental health services. Also, assist with mental illness, developmental disabilities as well as alcohol and chemical dependency.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=PecanValleyCentersforBehavioralandDevelopmentalHealthCareMineralWellsClinicPaloPintoMentalHealthandDevelopmentalDisabilityServices_1208_19_0
201c019b-1e8b-47c6-b2ca-ddec0daed4ae,Social Services,General Counseling Services,PECAN VALLEY CENTERS FOR BEHAVIORAL AND DEVELOPMENTAL HEALTHCARE | STEPHENVILLE CLINIC - ERATH COUNTY | MENTAL HEALTH AND DEVELOPMENTAL DISABILITY SERVICES,"800-772-5987 
							Crisis Hotline and Intake Screening Line",,906 West Lingleville Road,Stephenville,TX,76401,https://www.pecanvalley.org/adult-mental-health-services,"Social Services, General Counseling Services","Provides 24-hour information, intake screening, mobile response team, and a crisis line for mental health services. Also, assist with mental illness, developmental disabilities as well as alcohol and chemical dependency.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=PecanValleyCentersforBehavioralandDevelopmentalHealthCareStephenvilleClinicErathCountyMentalHealthandDevelopmentalDisabilityServices_1208_19_0
c3e19cab-8046-4b76-b978-6b5cc2d4b82d,Social Services,General Counseling Services,PECAN VALLEY CENTERS FOR BEHAVIORAL AND DEVELOPMENTAL HEALTHCARE | WEATHERFORD CLINIC - PARKER COUNTY | MENTAL HEALTH AND DEVELOPMENTAL DISABILITY SERVICES,"800-772-5987 
							Crisis Hotline and Intake Screening Line",,1715 Santa Fe Dr,Weatherford,TX,76086,https://www.pecanvalley.org/adult-mental-health-services,"Social Services, General Counseling Services","Provides 24-hour information, intake screening, mobile response team, and a crisis line for mental health services. Also, assist with mental illness, developmental disabilities as well as alcohol and chemical dependency.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=PecanValleyCentersforBehavioralandDevelopmentalHealthCareWeatherfordClinicParkerCountyMentalHealthandDevelopmentalDisabilityServices_1208_19_0
ebb063a7-496b-445c-86b0-6c71bd18a31e,Social Services,General Counseling Services,NORTH TEXAS ADDICTION COUNSELING AND EDUCATION,(817) 795-8278,lnelson@ntace.org,124 W Pioneer Parkway,Arlington,TX,76010,http://www.ntace.org/,"Social Services, General Counseling Services","North Texas Addiction Counseling and Education, Inc. is a non-profit 501©(3) agency that was established with the intent to provide the highest quality and most effective treatment available for those who suffer from substance abuse or mental health disorders or conditions. Our goal at NTACE is to provide a continuum of care for individuals and their families.
The staff at North Texas Addiction Counseling and Education, Inc. is dedicated to ensuring that effective treatment, recovery, and prevention services are provided to meet the needs of individuals, both adults and adolescents, who suffer from drug and alcohol related problems. We assist those who live at or below the poverty level and are at the greatest risk of addiction-related disease and socio-economic dysfunction. We currently provide services to those who have medical insurance, all forms of Medicaid, those eligible for state funding and those who prefer to be on a self-pay basis.

NTACE prides itself on using evidence and research-based curriculums for the program services we provide. NTACE has two locations in Tarrant County, Arlington and Fort Worth. NTACE has determined that the two locations provide easy access via city and public transportation. The Fort Worth location is located just south of downtown and is located on the bus line with three stops within a one block radius. Arlington does not have a public transit system; however, the location is centrally located that is easily accessible in south Arlington off a major thoroughfare, in close proximity to the two major interstates.

NTACE provides literature, counseling materials/documents and counseling at both facilities in Spanish as well. Because of the ever growing and increased need, NTACE employs bilingual counselors specifically to address specific client’s needs and to eliminate a potential language barrier. Cognizant of the population and community NTACE has served for the past 15 years, NTACE endeavors to maintain a level of care that is diverse and culturally competent.

Both NTACE facilities are licensed by the Department of State and Health Services.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=NORTHTEXASADDICTIONCOUNSELINGANDEDUCATION_19_1208_0
87138536-c045-4f0a-a22d-59433e8b58d0,Social Services,General Counseling Services,BAYLOR ALL SAINTS MEDICAL CENTERS | BEHAVIORAL HEALTH SERVICES,(214) 820-7660,,1400 8th Avenue,,,,https://www.bswhealth.com/specialties/mental-health,"Social Services, General Counseling Services","Offers psychiatric, chemical dependency and dual diagnosis treatment programs for adults 18 and older. Inpatient, outpatient, crisis intervention and emergency services available.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=BAYLORALLSAINTSMEDICALCENTERSBEHAVIORALHEALTHSERVICES_19_1208_0
e1629137-a000-4e4e-b7d7-53ed5c4871e8,Social Services,General Counseling Services,"ANXIETY, MOOD AND PHOBIA CENTER",(817) 335-3327,,100 E. 15th Street,Fort Worth,TX,76102,http://www.carolynselfphd.com/,"Social Services, General Counseling Services","Anxiety, Mood and Phobia Center, offers counseling and support groups for panic attacks, agoraphobia, social phobia, obsessive compulsive disorder, depression, public speaking fear, hyperventilation syndrome, stress complications, anger management, assertive behavior, hypnosis, marriage counseling, and bipolar disorder.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=AnxietyMoodandPhobiaCenter_19_1208_0
0c4dc3d2-ff83-42de-8d9a-52db48580c07,Social Services,General Counseling Services,NORTH TEXAS AREA COMMUNITY HEALTH CENTER | ARLINGTON COMMUNITY HEALTH CENTER | HEALTH/MEDICAL CARE,"817-625-4254 
							Main Phone",rparajuli@ntachc.org,979 N Cooper St,Arlington,TX,76011,http://ntachc.org/,"Social Services, General Counseling Services","Offers adult health, pediatric health, women's health (OB/GYN and STD screening), and behavioral health services.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=NorthTexasAreaCommunityHealthCenterArlingtonCommunityHealthCenterHealthMedicalCare_1208_19_0
71a31fda-4002-4566-998c-123e3949f68f,Social Services,General Counseling Services,NORTH TEXAS AREA COMMUNITY HEALTH CENTER | NORTHSIDE COMMUNITY HEALTH CENTER | HEALTH/MEDICAL CARE,"817-625-4254 
							Main Phone",rparajuli@ntachc.org,2332 Beverly Hills Dr,Fort Worth,TX,76114,http://ntachc.org/,"Social Services, General Counseling Services","Offers adult health, pediatric health, women's health (OB/GYN and STD screening), and behavioral health services.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=NorthTexasAreaCommunityHealthCenterNorthsideCommunityHealthCenterHealthMedicalCare_1208_19_0
